Samples	Sample description	X4E_BP1_S65	AKT_S473	AKT_T308	AMPKa1_S485	AMPKb1_S108	Bcl2_S70	CC3_D175	cKit_Y703	Cofilin_S3	cPLA2_S505	E_Cadherin	EGFR_Y1068	EGFR_Y1148	EGFR_Y1173	ErbB2_Y1248	ErbB3_Y1289	ERK_T202Y204	FAK_Y576Y577	GSK3ab_S21S9	LC3B	LIMK1_T508_LIMK2_T505	LKB1_S334	IGF1R_Y1135Y1136_IR_Y1150Y1151	mTOR_S2448	p38_MAPK_T180Y182	p90RSK_S380	PAK1_S199S204_PAK2_S192S197	PARP_cleaved_D214	Paxillin_Y118	PDGFRa_Y754	PDGFRb_Y716	PKC_ab_T638T641	PLCg1_Y783	Ret_Y905	Ron_Y1353	SAPK_JNK_T183Y185	Src_Y527	Src_Fam_Y416	cMet	VEGFR2_Y1175	VEGFR2_Y996	PTEN	PTEN_S380	EGFR	Stat3_S727	NFkB_p65_S536	S6_Ribosomal_Protein_S235S236	S6_Ribosomal_Protein_S240S244	SGK1_S78	p53	ALK_Y1586	B_Raf_S445	C_Raf_S338	CREB_S133	Elk1_S383	FKHR_S256	IRS1_S612	MDM2_S166	MEK_12_S217S221	p70_S6_Kinase_T412	Raf_S259	Ras_GRF1_S916	Shc_Y317	Smad1_5_8_SS	Stat5_Y694	MGMT	Met_Y1234Y1235	Cyclin_B1	Cyclin_D1	ERa_S118
HF137_EP_5	non-tumor brain	48.42	13.08	14.62	46.28	22.20		31.35	32.39	186.94	232.30	22.56	0.59	121.11	6.72	4.15	131.82	74.46	33.12	239.87	290.64	260.61	35.59	24.61	610.48	20.80	102.33	412.83	0.00	0.00	9.72		176.70	12.17	3.72	5.86	314.48	434.75	46.61	43.03	115.43	163.72	339.66	280.42	7.95	58.14	43.94	51.75	45.84	157.25	48.02	100.73		20.55	193.86	167.39	718.17	79.84	7.67	249.88	214.34	103.78	596.51	19.42	182.56	199.48	0.00	84.76	79.28	100.64	38.69
HF156_EP_2	non-tumor brain	78.91	4.45	6.79	50.84	15.02	20.23	26.11	26.04	5.30	45.07	16.29	0.05	94.73	5.85	9.27	116.33	31.26	53.31	59.57	357.76	146.28	40.51	15.90	192.40	29.98	34.26	92.16	0.00	0.00	18.46	1.59	162.28	0.39	3.98	0.00	137.95	186.23	29.65	51.40	43.28	83.97	434.36	315.33	8.03	36.97	56.85	12.03	20.10	114.13	70.56	100.33	374.80	29.09	92.80	51.34	84.22	17.08	2.00	82.90	87.69	45.78	152.72	8.48	51.74	76.52	29.89	55.34	66.74	80.63	
HF163_EP_4	non-tumor brain	29.46	12.28	8.81	37.68	5.30	0.00	18.02	25.49	118.47	102.73	16.01	0.62	130.64	6.62	10.66	63.77	74.23	24.44	97.40	347.63	157.93	48.12	13.54	792.08	48.08	24.32	170.21	0.00	0.00	0.00	1.69	146.61	39.96	0.00	8.80	125.29	502.99	62.94	49.60	46.54	104.97	255.63	184.86	7.83	53.11	73.53	29.53	29.56	108.85	66.42	74.22	167.65	37.09	64.90	93.38	159.08	30.03	3.24	176.09	100.28	67.57	362.27		153.38	208.07	60.74		69.27	137.03	54.53
HF2354_T_v1B	tumor	12.35	18.00	23.41	98.66	55.52		28.63	28.62	31.78	54.45	14.32	5.18	138.44	17.07	10.05	29.85	164.68	43.71	84.54	144.84	92.75	34.00	37.44	60.22	283.35	98.56	21.25	0.00	0.00	28.31	6.23	116.78	5.10	11.51	0.07	47.78	229.12	131.88	295.55	34.22	59.44	135.81	99.55	156.94	76.44	69.95	22.16	24.46	135.81	55.74		89.10	32.22	125.39	75.67	228.80	40.93	7.25	94.64	197.18	203.16	352.17	15.64	108.45	186.34	15.14	57.65	103.32	178.33	54.04
HF2354_NP_RPPA	neurosphere	103.28	22.07	4.86	82.47	80.32	88.73	66.77	20.67	791.06	127.44	12.95	0.99	138.19	30.16	10.92	46.48	1.56	75.32	70.00	185.50	74.02	199.65	64.47	110.71	29.28	79.82	4.04	39.59	0.00	19.85	1.65	76.83	29.11	0.00	30.26	17.65	185.85	83.81	170.20	40.85	80.74	10.82	9.64	11.11	87.14	28.89	313.72	666.00	152.92	311.70	95.55	72.14	20.14	22.15	47.31	68.87	18.92	7.19	42.49	115.85	81.25	61.82	9.03	113.82	78.40	0.00	34.91	187.22	93.40	45.15
HF2354_X1277	xenograft	54.72	132.31	95.31	67.82	236.82	39.23	94.33	14.44	747.37	154.24	24.97	0.31	105.41	13.05	11.93	106.04	47.39	40.49	189.05	321.35	106.62	72.19	56.39	114.53	128.66	52.16	24.52	74.30	0.00	12.77	1.56	0.00	27.55	0.85	17.69	66.41	250.03	59.09	112.87	33.24	72.32	39.65	45.49	12.67	118.49	72.07	208.28	519.84	160.95	211.21	99.06	165.58	75.96	145.29	74.75	124.68	56.29	9.59	348.33	367.43	284.80	297.94	9.58	103.98	203.26	48.88	31.90	529.78	199.85	32.27
HF2354_X1281	xenograft	50.74	162.03	117.75	70.46	204.08	37.87	84.35	26.64	888.85	93.88	20.44	0.00	97.71	15.88	11.58	79.70	19.56	54.01	141.37	229.77	125.81	90.11	64.38	87.72	128.11	34.17	24.98	81.27	0.46	22.30	1.63	0.00	10.73	0.70	17.29	46.48	340.84	113.01	102.54	36.59	63.62	43.41	43.14	9.75	68.88	86.59	49.99	124.44	135.81	111.72	73.74	99.12	37.42	49.51	51.33	87.87	40.47	4.04	198.02	149.66	257.02	166.29	13.88	127.18	188.57	0.00	82.27	825.73	170.96	35.56
HF2354_X1285	xenograft	38.18	145.41	134.50	86.16	243.26	46.71	93.64	24.69	1210.25	133.66	24.24	0.74	105.96	16.88	8.59	90.16	24.67	46.29	240.62	636.74	106.74	110.22	52.13	91.00	120.92	30.05	20.57	131.42	0.00	0.00	1.63	19.43	18.95	2.83	30.02	75.41	449.31	50.66	136.21	37.94	64.33	40.25	51.57	10.14	40.59	18.61	73.73	167.37	92.63	187.29	102.73	138.23	19.50	72.34	73.32	62.57	28.79	4.66	80.28	104.27	200.46	105.09	7.71	86.76	88.88	0.00	19.59	284.88	156.72	52.73
HF2587_T_v5	tumor	16.88	119.16	81.60	63.97	48.84	47.47	30.24	42.90	49.45	78.59	25.68	0.48	145.31	9.92	13.62	123.42	379.97	50.15	165.08	418.27	118.26	99.42	65.27	179.74	589.12	138.59	20.35	8.23	36.06	46.63	3.33	195.71	23.72	34.74	45.63	199.09	262.40	129.11	103.33	13.09	12.51	12.21	20.66	16.34			30.68	123.85		101.08	126.49	95.89	59.21	217.46	227.29	236.15	188.88	6.97	197.83	364.67	195.14	169.16	9.23	133.47	96.43	21.32	26.69	79.29	69.36	17.38
HF2587_NP_RPPA	neurosphere	144.06	17.36	2.60	22.76	13.32	60.06	74.82	34.56	564.85	89.22	17.64	0.17	98.17	27.73	0.00	19.85	1.14	43.75	105.77	429.06	50.50	373.42	36.40	61.30	0.00	18.59	0.00	89.79	0.00	15.19	2.76	14.05	39.54	3.37	78.29	20.69	67.52	40.75	54.62	40.75	91.04	3.15	6.12	6.61	44.32	10.20	40.76	110.40	96.24	40.13	0.00	21.97	22.04	16.23	86.54	52.65	25.50	6.46	28.96	35.07	41.01	23.21	7.49	39.60	81.18	0.00	36.73	421.32	152.12	42.77
HF2587_X1317	xenograft	28.99	424.36	240.46	60.78	98.15	20.44	20.99	31.24	337.78	81.33	14.08	0.30	102.49	9.58	12.38	42.12	373.47	50.47	328.57	243.21	118.05	89.36	26.59	73.68	87.44	137.94	36.44	0.00	0.00	18.16	1.83	80.08	19.53	17.30	19.30	131.78	142.88	44.09	110.90	40.12	125.05	36.75	55.09	13.61	79.17	46.02	39.04	94.07	132.90	38.43	125.25	135.15	334.66	320.16	172.74	137.07	62.19	5.69	305.56	275.95	307.18	251.36	13.38	149.17	144.87	65.09	25.76	354.19	197.31	177.62
HF2587_X1336	xenograft	35.00	402.25	263.52	80.21	141.29	31.96	22.35	27.74	568.14	103.77	13.12	0.47	154.75	11.22	16.02	95.98	405.20	50.14	298.63	245.02	126.55	69.56	41.75	86.58	118.14	95.56	79.30	0.00	0.00	13.54	1.93	80.51	21.68	32.64	11.18	176.18	191.17	68.58	129.25	48.09	157.65	142.86	146.14	11.49	175.17	113.44	78.13	124.44	219.39	42.54	143.97	199.92	182.65	118.25	123.04	99.82	51.50	6.96	178.36	126.41	217.75	247.72		68.45	128.41	0.00	111.99	224.05		31.91
HF2587_X1337	xenograft	63.21	266.03	223.73	67.94	170.87	41.87	18.98	27.26	581.58	86.55	17.51	0.24	142.53	11.56	6.72	201.43	339.00	70.99	283.17	223.36	126.88	64.70	48.36	82.66	130.13	86.94	83.24	0.00	0.00	16.55	4.31	83.89	19.08	26.48	14.38	216.92	188.60	112.19	142.85	44.41	168.08	211.25	192.66	12.21	71.41	51.16	54.73	152.32	262.23	89.42	244.63	325.74	276.24	259.57	184.43	185.13	102.16	8.54	418.72	264.23	296.65	240.34	22.89		168.04	55.43	47.06	345.77	263.72	86.18
HF2927_T_v1	tumor	24.72	59.91	79.42	90.21	69.47	55.00	52.78	23.58	82.03	157.76	12.23	2.78	161.78	16.76	12.04	54.54	249.19	58.94	106.06	155.72	108.17	87.98	52.83	163.56	562.04	66.55	6.64	1.92	0.00	6.31	3.38	148.34	42.77	22.01	17.82	97.77	328.61	40.33	141.60	29.02	67.43	25.40	25.23	139.63	109.08	48.92	62.24	150.31	177.55	37.83	108.35	122.20	38.98	47.52	81.98	150.00	121.81	6.52	158.22	160.75	255.83	181.35	13.79	261.99	105.27	19.90	62.91	120.97	170.25	61.45
